id,name,category,address,latitude,longitude,fetched_at
636,Waverley Elementary,Public School,6111 Elliott St,49.22783722506748,-123.05578593,2026-06-07T23:58:02.389447
637,Waverley StrongStart Centre,StrongStart BC,6111 Elliott St,49.22783722506748,-123.05578593,2026-06-07T23:58:02.389447
638,York House Little School,Independent School,3274 East Boulevard,49.25670999906763,-123.152101,2026-06-07T23:58:02.389447
639,Sir James Douglas Elementary,Public School,2150 Brigadoon Av,49.21604932869144,-123.0646531767478,2026-06-07T23:58:02.389447
640,Alexander Academy,Independent School,688 W Hastings St,49.28500059925005,-123.11400985419304,2026-06-07T23:58:02.389447
641,Captain James Cook StrongStart Centre,StrongStart BC,3340 E 54th Av,49.219380799067466,-123.03582905,2026-06-07T23:58:02.389447
642,Carnarvon Community Elementary,Public School,3400 Balaclava St,49.25658742134096,-123.17355723856548,2026-06-07T23:58:02.389447
643,Dr A R Lord Elementary,Public School,555 Lillooet St,49.27964048422215,-123.03951720287967,2026-06-07T23:58:02.389447
644,Ecole Jules Quesnel Elementary,Public School,3050 Crown St,49.25956780506763,-123.19253813000002,2026-06-07T23:58:02.389447
645,Family Montessori School,Independent School,4196 W 4th Av,49.267667982326586,-123.1982460233882,2026-06-07T23:58:02.389447
646,G T Cunningham Elementary,Public School,2330 E 37th Av,49.23673222606754,-123.05745595,2026-06-07T23:58:02.389447
647,Lord Beaconsfield Elementary,Public School,3663 Penticton St,49.2521383750676,-123.05269627000001,2026-06-07T23:58:02.389447
648,Lord Selkirk Annex,Public School,4444 Dumfries St,49.24532077406758,-123.07246012,2026-06-07T23:58:02.389447
649,Mount Pleasant StrongStart Centre,StrongStart BC,2300 Guelph St,49.26396573206767,-123.09399954,2026-06-07T23:58:02.389447
650,Queen Elizabeth Elementary,Public School,4102 W 16th Av,49.257791772067634,-123.20112784000001,2026-06-07T23:58:02.389447
651,Shaughnessy Elementary,Public School,4250 Marguerite St,49.24867607506759,-123.14380998000001,2026-06-07T23:58:02.389447
652,Sir Charles Tupper Secondary,Public School,419 E 24th Av,49.249753501067595,-123.09480947999998,2026-06-07T23:58:02.389447
653,St John's School,Independent School,2215 W 10th Av,49.26317767149081,-123.1561791428068,2026-06-07T23:58:02.389447
654,St Mary's,Independent School,5239 Joyce St,49.237501631148845,-123.03370590892874,2026-06-07T23:58:02.389447
655,St Patrick Regional Secondary,Independent School,115 E 11th Av,49.261404544549904,-123.10260439171995,2026-06-07T23:58:02.389447
656,Thunderbird Elementary,Public School,2325 Cassiar St,49.263648890401456,-123.03187058558184,2026-06-07T23:58:02.389447
657,Vancouver College,Independent School,5400 Cartier St,49.23495941876865,-123.1361713344514,2026-06-07T23:58:02.389447
658,Westside Montessori Academy,Independent School,3075 Slocan St,49.256937847571606,-123.0503919492473,2026-06-07T23:58:02.389447
659,York House School,Independent School,4176 Alexandra St,49.248848218981884,-123.14034013611547,2026-06-07T23:58:02.389447
660,Edith Cavell Elementary,Public School,500 W 20th Av,49.25290710906762,-123.11722884,2026-06-07T23:58:02.389447
