id,name,neighbourhood,facilities,latitude,longitude,fetched_at
655,,,[],49.25253324892644,-123.12240927410276,2026-06-07T23:58:00.136259
656,,,[],49.26205550109892,-123.16010507957903,2026-06-07T23:58:00.136259
657,,,[],49.249047303072075,-123.19223797014051,2026-06-07T23:58:00.136259
658,,,[],49.24196025084778,-123.03041669042673,2026-06-07T23:58:00.136259
659,,,[],49.22136181655617,-123.117904617331,2026-06-07T23:58:00.136259
660,,,[],49.27621201651504,-123.02570317607942,2026-06-07T23:58:00.136259
661,,,[],49.20538526928567,-123.13247846128131,2026-06-07T23:58:00.136259
662,,,[],49.27700855494706,-123.11896923812154,2026-06-07T23:58:00.136259
663,,,[],49.25493181253211,-123.08075847140283,2026-06-07T23:58:00.136259
664,,,[],49.26543547423968,-123.12891427364485,2026-06-07T23:58:00.136259
665,,,[],49.25656384378954,-123.17163059502842,2026-06-07T23:58:00.136259
666,,,[],49.27181206984341,-123.21438558564188,2026-06-07T23:58:00.136259
667,,,[],49.25237676727856,-123.17645471480918,2026-06-07T23:58:00.136259
668,,,[],49.25097540413386,-123.1624811771814,2026-06-07T23:58:00.136259
669,,,[],49.27829485733006,-123.0588390171663,2026-06-07T23:58:00.136259
670,,,[],49.22976533096147,-123.06992291342094,2026-06-07T23:58:00.136259
671,,,[],49.21544712731017,-123.14254916562136,2026-06-07T23:58:00.136259
672,,,[],49.258160306611416,-123.09202495595909,2026-06-07T23:58:00.136259
673,,,[],49.23721383105909,-123.05107748249603,2026-06-07T23:58:00.136259
674,,,[],49.2277292520923,-123.05753198459725,2026-06-07T23:58:00.136259
675,,,[],49.215504676987734,-123.08616112111363,2026-06-07T23:58:00.136259
676,,,[],49.236413396615795,-123.02899933256579,2026-06-07T23:58:00.136259
677,,,[],49.20551239005133,-123.13836711513864,2026-06-07T23:58:00.136259
678,,,[],49.23571374340074,-123.15348722718541,2026-06-07T23:58:00.136259
679,,,[],49.26411991356805,-123.04590838072166,2026-06-07T23:58:00.136259
680,,,[],49.22340319803405,-123.0704575108062,2026-06-07T23:58:00.136259
681,,,[],49.249584647015894,-123.08288989540277,2026-06-07T23:58:00.136259
682,,,[],49.23612962291615,-123.03111889768618,2026-06-07T23:58:00.136259
683,,,[],49.25574041043259,-123.02986571244642,2026-06-07T23:58:00.136259
684,,,[],49.2806109393663,-123.04025107627515,2026-06-07T23:58:00.136259
685,,,[],49.287638234197345,-123.14199865764992,2026-06-07T23:58:00.136259
686,,,[],49.20556313321264,-123.04889651261576,2026-06-07T23:58:00.136259
687,,,[],49.206778973860054,-123.1428839755863,2026-06-07T23:58:00.136259
688,,,[],49.24402454055487,-123.1567534254394,2026-06-07T23:58:00.136259
689,,,[],49.251486077608405,-123.09764769541485,2026-06-07T23:58:00.136259
690,,,[],49.26908983614111,-123.1350531063026,2026-06-07T23:58:00.136259
691,,,[],49.258432503501155,-123.14312129017391,2026-06-07T23:58:00.136259
692,,,[],49.29221166732644,-123.02489439531213,2026-06-07T23:58:00.136259
693,,,[],49.234644677485946,-123.02732274817927,2026-06-07T23:58:00.136259
694,,,[],49.20758481979493,-123.03610167981839,2026-06-07T23:58:00.136259
695,,,[],49.20650696218356,-123.1291666600433,2026-06-07T23:58:00.136259
696,,,[],49.20219934206411,-123.12490723282059,2026-06-07T23:58:00.136259
697,,,[],49.25565889722085,-123.13512625743954,2026-06-07T23:58:00.136259
698,,,[],49.25709383558344,-123.1807024726915,2026-06-07T23:58:00.136259
699,,,[],49.24762617073041,-123.16839516049971,2026-06-07T23:58:00.136259
700,,,[],49.24440702489111,-123.16509235112471,2026-06-07T23:58:00.136259
701,,,[],49.272256590820156,-123.12450042107261,2026-06-07T23:58:00.136259
702,,,[],49.27499554225812,-123.11971192580297,2026-06-07T23:58:00.136259
703,,,[],49.27745207915554,-123.08753233120515,2026-06-07T23:58:00.136259
704,,,[],49.27853027412942,-123.10422006928225,2026-06-07T23:58:00.136259
705,,,[],49.28265524716038,-123.1295556422179,2026-06-07T23:58:00.136259
706,,,[],49.229763691374174,-123.09839317206101,2026-06-07T23:58:00.136259
707,,,[],49.268098847548835,-123.17970673739161,2026-06-07T23:58:00.136259
708,,,[],49.288685518541705,-123.05718254596341,2026-06-07T23:58:00.136259
709,,,[],49.27385047489811,-123.10296854843675,2026-06-07T23:58:00.136259
710,,,[],49.28246801975833,-123.03313159156069,2026-06-07T23:58:00.136259
711,,,[],49.20689483355646,-123.03948344281488,2026-06-07T23:58:00.136259
712,,,[],49.25499734670768,-123.10136369504596,2026-06-07T23:58:00.136259
713,,,[],49.27205399486927,-123.10800982690415,2026-06-07T23:58:00.136259
714,,,[],49.25608300608431,-123.1123962423244,2026-06-07T23:58:00.136259
715,,,[],49.2847063729791,-123.13943791452694,2026-06-07T23:58:00.136259
716,,,[],49.28496594308869,-123.13671286465933,2026-06-07T23:58:00.136259
717,,,[],49.29076156110167,-123.1423426366777,2026-06-07T23:58:00.136259
718,,,[],49.30213214432552,-123.14263739819245,2026-06-07T23:58:00.136259
719,,,[],49.22280190451854,-123.09876518325977,2026-06-07T23:58:00.136259
720,,,[],49.249609006540524,-123.15597457038474,2026-06-07T23:58:00.136259
721,,,[],49.21057689205894,-123.03651171260917,2026-06-07T23:58:00.136259
722,,,[],49.20642074755844,-123.02619086271137,2026-06-07T23:58:00.136259
723,,,[],49.24374214245023,-123.14912049677662,2026-06-07T23:58:00.136259
724,,,[],49.290159242925895,-123.03796111822847,2026-06-07T23:58:00.136259
725,,,[],49.23843208561654,-123.12580913081992,2026-06-07T23:58:00.136259
